排名,城市,AQI,空气质量等级,纬度,经度
1,玉树藏族自治州,3,优,33.01097958514274,97.01318076277326
2,昌都,4,优,31.148661810810207,97.17733324895293
3,阿里地区,5,优,32.50686601763335,80.11277692192645
4,大理州,6,优,25.6121284181925,100.27458284048366
5,西双版纳州,7,优,22.013601254764165,100.80344682455637
6,厦门,7,优,24.485406605176305,118.09643549976651
7,三亚,7,优,18.258736291747855,109.51855670139908
8,山南,7,优,29.243026939249226,91.77867513851903
9,林芝,7,优,29.654042176951524,94.36805828713257
10,梅州,8,优,24.294177532206206,116.12953737612247
11,大兴安岭地区,8,优,50.42002595502784,124.15292785448057
12,阜阳,8,优,32.89606099485221,115.82043612491321
13,甘南州,9,优,34.98913990996821,102.91758468825803
14,甘孜藏族自治州,9,优,30.05527884351838,101.96854674579022
15,蚌埠,9,优,32.921523704350825,117.39551332813694
16,黑河,9,优,50.25127231175015,127.53548988621854
17,那曲地区,9,优,,
18,日喀则,9,优,29.275657822511512,88.89370303482552
19,漳州,9,优,24.51892979117087,117.65357645298785
20,双鸭山,9,优,46.68238905377044,131.14797357255904
