排名,城市,AQI,空气质量等级,纬度,经度
1,和田地区,89,良,37.12044646304192,79.9285070635119
2,阿克苏地区,75,良,41.17502986007749,80.26694348473501
3,中卫,64,良,37.50570141870293,105.20357090088713
4,塔城地区,63,良,46.750948254373434,82.9872355184064
5,武威,61,良,37.93437780815811,102.64455434036918
6,巴音郭楞州,61,良,42.60861297230021,83.65426213395769
7,兰州新区,57,良,36.49967078768619,103.68221533156829
8,乌鲁木齐,56,良,43.47708606579323,87.41602874517912
9,张掖,55,良,38.932066007004934,100.45641147405634
10,酒泉,54,良,39.73846908071564,98.50068521606795
11,海南藏族自治州,53,良,36.2921024798988,100.62662114445924
12,德阳,50,优,31.133115003656755,104.40441936496448
13,温州,50,优,28.00108540447221,120.70647689035565
14,金昌,50,优,38.52582009209263,102.19460568669837
15,徐州,50,优,34.21266655011306,117.29057543439453
16,汉中,50,优,33.073799907833795,107.02943020926463
17,石嘴山,49,优,38.98968283991508,106.3906004255049
18,延边朝鲜族自治州,49,优,42.91574303372181,129.4773763202274
19,嘉峪关,49,优,39.77796014739059,98.29620384300111
20,乐山,49,优,29.55794071745811,103.7725376036347
