排名,城市,美国AQI,关注度
1,"多伦多, 加拿大",165,252.3K
2,"迪拜, 阿联酋",161,229.7K
3,"华盛顿特区, 美国",147,8.8K
4,"底特律, 美国",146,18.1K
5,"雅加达, 印度尼西亚",110,1.5M
6,"紐約市, 美国",109,1.7M
7,"北京, 中国",109,3.5M
8,"阿克拉, 加纳",99,1.9K
9,"Doha, 卡塔尔",97,75.7K
10,"芝加哥, 美国",88,10.9K
11,"莫斯科, 俄罗斯",86,623.6K
12,"德里, 印度",86,2.7M
13,"特拉维夫 - 雅法, 以色列",84,63.6K
14,"加尔各答, 印度",82,1.4M
15,"Montreal, 加拿大",82,67.6K
16,"卡拉奇, 巴基斯坦",78,44.3K
17,"拉合尔, 巴基斯坦",75,299.2K
18,"Baghdad, 伊拉克",74,7.9K
19,"利馬, 秘鲁",74,29.6K
20,"首尔特别市, 韩国",73,3.4M
21,"杭州, 中国",72,126.6K
22,"圣地亚哥, 智利",72,83.6K
23,"达卡, 孟加拉国",70,195.4K
24,"古晉, 马来西亚",67,44.4K
25,"明尼阿波利斯, 美国",66,4.6K
26,"利雅德, 沙特阿拉伯",65,64.8K
27,"Kuwait City, 科威特",65,52.5K
28,"罗马市, 意大利",65,25.0K
29,"仁川, 韩国",65,5.3K
30,"河內市, 越南",64,2.1M
31,"武汉, 中国",64,193.6K
32,"克拉科夫, 波兰",63,269.5K
33,"广州, 中国",63,1.4M
34,"加德滿都, 尼泊尔",62,99.6K
35,"华沙, 波兰",61,282.3K
36,"沈阳, 中国",61,94.7K
37,"东京, 日本",61,763.3K
38,"Milano, 意大利",60,24.7K
39,"新加坡, 新加坡",60,665.4K
40,"成都, 中国",59,1.4M
41,"Nairobi, 肯尼亚",59,7.3K
42,"重庆市, 中国",59,98.0K
43,"柏林, 德国",58,136.7K
44,"伯尔尼, 瑞士",57,70.7K
45,"波茲南, 波兰",57,2.4K
46,"吉隆坡, 马来西亚",57,289.6K
47,"阿爾及爾, 阿尔及利亚",55,34.7K
48,"洛杉矶, 美国",55,3.0M
49,"尼斯, 法国",54,428.2K
50,"普里什蒂纳, 科索沃",53,1.8K
51,"深圳, 中国",53,206.9K
52,"布达佩斯, 匈牙利",53,3.7K
53,"慕尼黑, 德国",52,293.1K
54,"乌兰巴托, 蒙古",50,34.1K
55,"维也纳, 奥地利",50,110.1K
56,"布拉迪斯拉发, 斯洛伐克",48,32.2K
57,"上海, 中国",48,1.7M
58,"Astana, 哈萨克斯坦",45,4.6K
59,"塔什干, 乌兹别克斯坦",44,31.7K
60,"索菲亞, 保加利亚",44,92.1K
61,"弗罗茨瓦夫, 波兰",42,237.4K
62,"金边, 柬埔寨",41,354.1K
63,"约翰内斯堡, 南非",41,54.7K
64,"仰光, 缅甸",41,2.9K
65,"台北, 中国台湾",41,824.2K
66,"Istanbul, 土耳其",41,172.4K
67,"比什凯克, 吉尔吉克斯坦",41,4.9K
68,"赫尔辛基, 芬兰",40,59.5K
69,"萨格勒布, 克罗地亚",39,1.9K
70,"塞拉耶佛, 波斯尼亚和黑塞哥维那",37,15.1K
71,"Ho Chi Minh City, 越南",37,2.1M
72,"京都, 日本",35,55.9K
73,"贝尔格莱德, 塞尔维亚",35,84.1K
74,"Kyiv, 乌克兰",35,211.0K
75,"阿姆斯特丹, 荷兰",34,193.6K
76,"斯科普里, 北马其顿",33,1.7K
77,"清迈, 泰国",33,11.1M
78,"曼谷, 泰国",33,4.7M
79,"里昂, 法国",30,456.6K
80,"圣保罗, 巴西",30,67.6K
81,"休斯敦, 美国",30,7.1K
82,"高雄市, 中国台湾",29,599.5K
83,"香港, 中国香港",29,479.9K
84,"釜山广域市, 韩国",28,29.0K
85,"巴黎, 法国",27,2.6M
86,"鹿特丹, 荷兰",26,108.8K
87,"布拉格, 捷克共和国",25,87.5K
88,"耶路撒冷, 以色列",24,52.9K
89,"克拉斯诺亚尔斯克, 俄罗斯",21,80.4K
90,"墨西哥城, 墨西哥",20,306.2K
91,"旧金山, 美国",20,400.5K
92,"名古屋, 日本",17,1.1K
93,"奥斯陆, 挪威",15,4.4K
94,"孟买, 印度",12,1.4M
95,"Vancouver BC, 加拿大",12,24.2K
96,"丹佛, 美国",12,1.4M
97,"盐湖城, 美国",12,16.2K
98,"伦敦, 英国",10,36.7K
99,"马德里, 西班牙",8,286.0K
100,"布鲁塞尔, 比利时",8,118.0K
101,"Melbourne, 澳大利亚",4,190.1K
102,"堪培拉, 澳大利亚",3,243.2K
103,"西雅圖, 美国",1,177.9K
104,"波哥大, 哥伦比亚",0,69.7K
105,"悉尼, 澳大利亚",0,1.5M
106,"波特蘭, 美国",0,29.5K
